quarter,EPS (Adj) (Unit Curr.),Net Sales,PATM(%),PBIDT,PBIDTM(%),Reported Profit After Tax,company
2025Q1,2.8,3354.16,8.26,434.67,12.96,276.9,TATA CONSUMER
2025Q2,7.22,3529.05,20.23,879.88,24.93,713.96,TATA CONSUMER
2025Q3,2.88,3595.22,7.93,464.87,12.93,285.19,TATA CONSUMER
2025Q4,3.24,3684.02,8.71,516.38,14.02,320.84,TATA CONSUMER
2015Q4,2.55,3398.39,6.65,325.08,9.57,226.15,TITAN
2016Q1,2.1,2391.49,7.81,234.58,9.81,186.88,TITAN
2016Q2,1.46,2748.67,4.7,208.56,7.59,129.29,TITAN
2016Q3,2.01,2599.02,6.88,279.33,10.75,178.82,TITAN
2016Q4,2.85,3818.62,6.63,378.87,9.92,253.06,TITAN
2017Q1,2.26,3480.51,5.77,297.13,8.54,200.71,TITAN
2017Q2,3.01,3967.02,6.73,406.06,10.24,266.91,TITAN
2017Q3,3.44,3438.96,8.89,464.22,13.5,305.64,TITAN
2017Q4,3.47,4173.59,7.38,463.14,11.1,308.21,TITAN
2018Q1,3.18,3869.33,7.29,394.65,10.2,282.12,TITAN
2018Q2,3.93,4268.56,8.18,530.95,12.44,349.17,TITAN
2018Q3,3.54,4353.39,7.22,493.9,11.35,314.38,TITAN
2018Q4,4.69,5632.45,7.39,645.17,11.45,416.23,TITAN
2019Q1,3.32,4630.93,6.36,440.69,9.52,294.58,TITAN
2019Q2,4.18,4885.0,7.59,621.0,12.71,371.0,TITAN
2019Q3,3.61,4371.0,7.32,544.0,12.45,320.0,TITAN
2019Q4,5.29,6106.0,7.7,755.0,12.36,470.0,TITAN
2020Q1,4.01,4370.0,8.17,644.0,14.74,357.0,TITAN
2020Q2,-3.04,1251.0,-21.58,-207.0,-16.55,-270.0,TITAN
2020Q3,2.24,3892.0,5.11,365.0,9.38,199.0,TITAN
2020Q4,4.72,6912.0,6.06,758.0,10.97,419.0,TITAN
2021Q1,5.96,6991.0,7.57,829.0,11.86,529.0,TITAN
2021Q2,0.69,2780.0,2.19,209.0,7.52,61.0,TITAN
2021Q3,7.22,6921.0,9.26,1004.0,14.51,641.0,TITAN
2021Q4,11.12,9381.0,10.52,1454.0,15.5,987.0,TITAN
2022Q1,5.53,6749.0,7.28,807.0,11.96,491.0,TITAN
2022Q2,8.93,8493.0,9.34,1208.0,14.22,793.0,TITAN
2022Q3,9.66,8134.0,10.54,1294.0,15.91,857.0,TITAN
2022Q4,10.71,10444.0,9.11,1421.0,13.61,951.0,TITAN
2023Q1,8.27,8553.0,8.58,1148.0,13.42,734.0,TITAN
2023Q2,8.76,10103.0,7.69,1202.0,11.9,777.0,TITAN
2023Q3,10.58,9903.0,9.49,1477.0,14.91,940.0,TITAN
2023Q4,11.73,12912.0,8.05,1596.0,12.36,1040.0,TITAN
2024Q1,8.87,10047.0,7.82,1259.0,12.53,786.0,TITAN
2024Q2,8.68,11105.0,6.93,1329.0,11.97,770.0,TITAN
2024Q3,7.95,12268.0,5.75,1260.0,10.27,705.0,TITAN
2024Q4,11.16,16053.0,6.17,1641.0,10.22,990.0,TITAN
2025Q1,9.8,12581.0,6.92,1555.0,12.36,870.0,TITAN
2025Q2,11.61,13040.0,7.9,1739.0,13.34,1030.0,TITAN
2025Q3,11.34,14501,6.94,1729,11.92,1006,TITAN
2015Q4,0.1,374.4,8.72,57.0,15.22,32.65,TRENT
2016Q1,0.6,379.42,5.21,39.56,10.43,19.76,TRENT
2016Q2,0.7,399.52,5.83,49.83,12.47,23.3,TRENT
2016Q3,0.63,439.47,4.79,48.19,10.97,21.07,TRENT
2016Q4,1.12,433.56,8.59,61.59,14.21,37.23,TRENT
2017Q1,0.76,448.37,5.63,46.7,10.42,25.26,TRENT
2017Q2,1.15,494.17,7.72,74.51,15.08,38.15,TRENT
2017Q3,0.87,522.08,5.56,61.04,11.69,29.01,TRENT
2017Q4,1.14,521.32,7.27,72.95,13.99,37.9,TRENT
2018Q1,0.35,528.72,2.21,35.41,6.7,11.66,TRENT
2018Q2,1.15,590.61,6.49,76.67,12.98,38.36,TRENT
2018Q3,0.99,615.92,5.34,71.57,11.62,32.91,TRENT
2018Q4,1.21,656.47,6.14,82.02,12.49,40.28,TRENT
2019Q1,0.48,668.67,2.39,42.14,6.3,15.95,TRENT
2019Q2,1.74,767.19,7.55,199.8,26.04,57.94,TRENT
2019Q3,1.1,818.01,4.68,176.08,21.53,38.29,TRENT
2019Q4,1.57,869.7,6.41,211.78,24.35,55.74,TRENT
2020Q1,0.07,722.78,0.36,127.28,17.61,2.61,TRENT
2020Q2,-3.92,96.33,-144.77,-66.25,-68.77,-139.46,TRENT
2020Q3,-1.35,452.12,-10.64,42.76,9.46,-48.09,TRENT
2020Q4,2.24,725.4,10.98,222.55,30.68,79.66,TRENT
2021Q1,1.6,773.68,7.35,202.65,26.19,56.88,TRENT
2021Q2,-2.36,327.29,-25.59,20.56,6.28,-83.76,TRENT
2021Q3,3.53,1020.42,12.31,303.13,29.71,125.62,TRENT
2021Q4,3.74,1347.76,9.86,321.33,23.84,132.89,TRENT
2022Q1,2.11,1185.26,6.32,254.33,21.46,74.87,TRENT
2022Q2,2.89,1652.86,6.21,345.62,20.91,102.62,TRENT
2022Q3,5.23,1813.61,10.25,435.55,24.02,185.85,TRENT
2022Q4,4.53,2171.51,7.41,408.61,18.82,160.97,TRENT
2023Q1,2.96,2077.21,5.06,341.17,16.42,105.13,TRENT
2023Q2,4.17,2536.43,5.85,415.43,16.38,148.27,TRENT
2023Q3,8.15,2890.72,10.02,611.93,21.17,289.67,TRENT
2023Q4,9.67,3312.48,10.37,699.97,21.13,343.6,TRENT
2024Q1,18.41,3186.93,20.53,1093.88,34.32,654.28,TRENT
2024Q2,9.62,3991.74,8.57,656.66,16.45,342.15,TRENT
2024Q3,11.91,4035.56,10.49,779.32,19.31,423.44,TRENT
2024Q4,13.2,4534.71,10.35,893.96,19.71,469.33,TRENT
2025Q1,9.84,4106.1,8.52,753.43,18.35,349.92,TRENT
2025Q2,11.89,4781.25,8.84,878.58,18.38,422.59,TRENT
2025Q3,12.68,4724.06,9.54,932.45,19.74,450.77,TRENT
2016Q1,0.02,2037.0,0.07,173.5,8.52,1.4,UNITED SPIRITS
2016Q2,0.6,2040.5,2.15,198.2,9.71,43.8,UNITED SPIRITS
2016Q3,1.14,2026.8,4.07,240.0,11.84,82.5,UNITED SPIRITS
2016Q4,2.03,2455.3,6.02,329.2,13.41,147.7,UNITED SPIRITS
2017Q1,-1.43,2025.0,-5.15,-11.4,-0.56,-104.2,UNITED SPIRITS
2017Q2,0.87,1781.8,3.53,187.5,10.52,62.9,UNITED SPIRITS
2017Q3,2.11,1951.3,7.85,333.8,17.11,153.1,UNITED SPIRITS
2017Q4,1.85,2263.3,5.95,283.3,12.52,134.7,UNITED SPIRITS
2018Q1,2.9,2173.7,9.71,431.9,19.87,211.0,UNITED SPIRITS
2018Q2,1.12,2008.8,4.05,216.0,10.75,81.3,UNITED SPIRITS
2018Q3,3.56,2224.9,11.63,459.6,20.66,258.7,UNITED SPIRITS
2018Q4,2.65,2496.9,7.71,391.3,15.67,192.4,UNITED SPIRITS
2019Q1,1.73,2250.0,5.61,289.0,12.84,126.2,UNITED SPIRITS
2019Q2,2.72,2218.4,8.9,405.2,18.27,197.4,UNITED SPIRITS
2019Q3,3.09,2296.2,9.78,429.3,18.7,224.6,UNITED SPIRITS
2019Q4,3.56,2582.5,10.02,441.6,17.1,258.8,UNITED SPIRITS
2020Q1,0.33,1993.8,1.2,276.8,13.88,23.9,UNITED SPIRITS
2020Q2,-2.96,1030.2,-20.9,-143.1,-13.89,-215.3,UNITED SPIRITS
2020Q3,1.76,2145.9,5.98,282.5,13.16,128.4,UNITED SPIRITS
2020Q4,3.16,2488.7,9.24,403.2,16.2,229.9,UNITED SPIRITS
2021Q1,2.3,2224.4,7.52,341.5,15.35,167.3,UNITED SPIRITS
2021Q2,0.95,1615.1,4.28,141.9,8.79,69.1,UNITED SPIRITS
2021Q3,3.76,2446.8,11.17,429.6,17.56,273.4,UNITED SPIRITS
2021Q4,4.27,2880.0,10.79,491.9,17.08,310.8,UNITED SPIRITS
2022Q1,2.61,2500.6,7.6,325.1,13.0,190.1,UNITED SPIRITS
2022Q2,2.68,2194.6,8.88,257.7,11.74,194.9,UNITED SPIRITS
2022Q3,7.46,2904.2,18.67,822.5,28.32,542.3,UNITED SPIRITS
2022Q4,1.52,2781.1,3.97,239.9,8.63,110.5,UNITED SPIRITS
2023Q1,2.8,2493.8,8.18,343.7,13.78,204.0,UNITED SPIRITS
2023Q2,3.27,2172.0,10.96,389.0,17.91,238.0,UNITED SPIRITS
2023Q3,4.69,2865.0,11.9,540.0,18.85,341.0,UNITED SPIRITS
2023Q4,4.79,2989.0,11.61,536.0,17.93,347.0,UNITED SPIRITS
2024Q1,5.28,2666.0,14.4,560.0,21.01,384.0,UNITED SPIRITS
2024Q2,4.11,2352.0,12.71,490.0,20.83,299.0,UNITED SPIRITS
2024Q3,4.61,2843.0,11.78,541.0,19.03,335.0,UNITED SPIRITS
2024Q4,6.5,3432.0,13.78,713.0,20.78,473.0,UNITED SPIRITS
2025Q1,6.2,2946.0,15.31,675.0,22.91,451.0,UNITED SPIRITS
2025Q2,3.55,2549.0,10.12,465.0,18.24,258.0,UNITED SPIRITS
2025Q3,6.49,3170.0,14.89,718.0,22.65,472.0,UNITED SPIRITS
2025Q4,7.27,3683,14.36,752,20.42,529,UNITED SPIRITS
2015Q4,0.93,1085.85,2.84,47.87,4.41,30.79,VOLTAS
2016Q1,3.86,1565.76,8.15,194.46,12.42,127.59,VOLTAS
2016Q2,3.17,1640.05,6.4,152.85,9.32,104.96,VOLTAS
2016Q3,3.81,827.28,15.22,180.68,21.84,125.91,VOLTAS
2016Q4,3.13,1012.6,10.21,151.72,14.98,103.41,VOLTAS
2017Q1,4.59,1882.87,8.07,193.55,10.28,151.91,VOLTAS
2017Q2,4.77,1811.67,8.71,221.15,12.21,157.82,VOLTAS
2017Q3,2.9,899.23,10.69,139.04,15.46,96.11,VOLTAS
2017Q4,2.12,1217.17,5.76,96.23,7.91,70.09,VOLTAS
2018Q1,5.36,1844.61,9.61,253.07,13.72,177.21,VOLTAS
2018Q2,3.87,1975.33,6.49,196.85,9.97,128.12,VOLTAS
2018Q3,4.49,1276.13,11.63,195.57,15.33,148.43,VOLTAS
2018Q4,1.89,1377.03,4.53,100.07,7.27,62.41,VOLTAS
2019Q1,3.79,2029.79,6.18,180.95,8.91,125.51,VOLTAS
2019Q2,4.44,2531.37,5.81,227.44,8.98,147.05,VOLTAS
2019Q3,3.72,1294.33,9.52,173.19,13.38,123.18,VOLTAS
2019Q4,3.08,1385.49,7.37,141.92,10.24,102.1,VOLTAS
2020Q1,5.92,1958.17,10.0,265.44,13.56,195.76,VOLTAS
2020Q2,3.44,1160.71,9.81,150.98,13.01,113.84,VOLTAS
2020Q3,3.1,1336.77,7.67,146.28,10.94,102.47,VOLTAS
2020Q4,4.21,1550.15,8.99,180.74,11.66,139.4,VOLTAS
2021Q1,6.49,2204.02,9.74,304.35,13.81,214.59,VOLTAS
2021Q2,4.09,1437.0,9.42,183.99,12.8,135.33,VOLTAS
2021Q3,3.29,1458.92,7.47,154.62,10.6,109.0,VOLTAS
2021Q4,3.71,1607.25,7.63,171.66,10.68,122.64,VOLTAS
2022Q1,6.54,2486.66,8.71,300.57,12.09,216.5,VOLTAS
2022Q2,4.43,2562.32,5.72,207.39,8.09,146.58,VOLTAS
2022Q3,31.97,1381.0,76.6,1082.31,78.37,1057.82,VOLTAS
2022Q4,1.34,1398.01,3.17,73.28,5.24,44.32,VOLTAS
2023Q1,4.73,2228.98,7.03,213.98,9.6,156.59,VOLTAS
2023Q2,6.49,2672.21,8.03,283.21,10.6,214.61,VOLTAS
2023Q3,3.08,1313.8,7.76,146.47,11.15,102.0,VOLTAS
2023Q4,2.94,1564.52,6.22,143.43,9.17,97.33,VOLTAS
2024Q1,5.75,3032.1,6.28,248.79,8.21,190.31,VOLTAS
2024Q2,10.25,3896.91,8.7,442.68,11.36,339.14,VOLTAS
2024Q3,3.29,1681.37,6.47,183.33,10.9,108.78,VOLTAS
2024Q4,3.27,2013.07,5.38,170.2,8.45,108.34,VOLTAS
2025Q1,6.66,3591.01,6.14,330.38,9.2,220.5,VOLTAS
2025Q2,6.15,3049.34,6.67,266.93,8.75,203.48,VOLTAS
2025Q3,0.22,1407.49,0.52,43.78,3.11,7.33,VOLTAS
2015Q4,0.0,0.0,0.0,-0.01,0.0,-0.03,WESTLIFE
2016Q1,-0.02,0.31,-96.77,-0.11,-35.48,-0.3,WESTLIFE
2016Q2,0.0,0.0,0.0,-0.07,0.0,-0.07,WESTLIFE
2016Q3,0.0,0.0,0.0,-0.02,0.0,-0.02,WESTLIFE
2016Q4,-0.01,0.0,0.0,-0.11,0.0,-0.11,WESTLIFE
2017Q1,-0.01,0.2,-50.0,-0.1,-50.0,-0.1,WESTLIFE
2017Q2,0.0,0.0,0.0,-0.07,0.0,-0.07,WESTLIFE
2017Q3,-0.01,0.0,0.0,-0.14,0.0,-0.14,WESTLIFE
2017Q4,-0.01,0.0,0.0,-0.1,0.0,-0.1,WESTLIFE
2018Q1,-0.01,0.0,0.0,-0.22,0.0,-0.22,WESTLIFE
2018Q2,0.0,0.0,0.0,-0.05,0.0,-0.05,WESTLIFE
2018Q3,-0.01,0.0,0.0,-0.11,0.0,-0.11,WESTLIFE
2018Q4,-0.01,0.0,0.0,-0.19,0.0,-0.22,WESTLIFE
2019Q1,-0.01,0.11,-100.0,-0.11,-100.0,-0.11,WESTLIFE
2019Q2,0.0,0.11,-45.45,-0.05,-45.45,-0.05,WESTLIFE
2019Q3,-0.01,0.16,-50.0,-0.08,-50.0,-0.08,WESTLIFE
2019Q4,0.0,0.12,-58.33,-0.07,-58.33,-0.07,WESTLIFE
2020Q1,-0.01,0.11,-90.91,-0.1,-90.91,-0.1,WESTLIFE
2020Q2,0.0,0.19,-31.58,-0.06,-31.58,-0.06,WESTLIFE
2020Q3,-0.01,0.1,-110.0,-0.11,-110.0,-0.11,WESTLIFE
2020Q4,-0.01,0.08,-100.0,-0.08,-100.0,-0.08,WESTLIFE
2021Q1,-0.01,0.06,-250.0,-0.15,-250.0,-0.15,WESTLIFE
2021Q2,0.0,0.12,-50.0,-0.06,-50.0,-0.06,WESTLIFE
2021Q3,-0.01,0.12,-83.33,-0.1,-83.33,-0.1,WESTLIFE
2021Q4,-0.01,0.1,-100.0,-0.1,-100.0,-0.1,WESTLIFE
2022Q1,-0.01,0.12,-133.33,-0.16,-133.33,-0.16,WESTLIFE
2022Q2,-0.01,0.07,-228.57,-0.16,-228.57,-0.16,WESTLIFE
2022Q3,-0.01,0.14,-135.71,-0.19,-135.71,-0.19,WESTLIFE
2022Q4,0.0,0.2,-30.0,-0.06,-30.0,-0.06,WESTLIFE
2023Q1,-0.02,0.22,-150.0,-0.17,-77.27,-0.33,WESTLIFE
2023Q2,3.84,61.85,96.7,61.43,99.32,59.81,WESTLIFE
2023Q3,0.0,0.21,-4.76,0.07,33.33,-0.01,WESTLIFE
2023Q4,-0.01,0.22,-36.36,-0.08,-36.36,-0.08,WESTLIFE
2024Q1,-0.04,0.26,-230.77,-0.69,-265.38,-0.6,WESTLIFE
2024Q2,-0.01,0.23,-30.43,-0.07,-30.43,-0.07,WESTLIFE
2024Q3,-0.01,0.27,-77.78,-0.21,-77.78,-0.21,WESTLIFE
2024Q4,-0.01,0.24,-58.33,-0.14,-58.33,-0.14,WESTLIFE
2025Q1,0.08,0.29,451.72,0.05,17.24,1.31,WESTLIFE
2025Q2,0.93,14.75,98.44,14.52,98.44,14.52,WESTLIFE
2025Q3,-0.01,0.29,-44.83,-0.13,-44.83,-0.13,WESTLIFE
2015Q4,3.01,922.35,4.14,78.24,8.48,38.21,WHIRLPOOL
2016Q1,5.46,848.53,8.16,121.87,14.36,69.28,WHIRLPOOL
2016Q2,9.61,1272.67,9.58,208.88,16.41,121.95,WHIRLPOOL
2016Q3,4.63,843.42,6.96,108.3,12.84,58.72,WHIRLPOOL
2016Q4,4.37,810.15,6.84,103.27,12.75,55.44,WHIRLPOOL
2017Q1,5.86,1014.55,7.33,141.39,13.94,74.38,WHIRLPOOL
2017Q2,10.46,1463.96,9.07,232.65,15.89,132.72,WHIRLPOOL
2017Q3,5.79,1159.67,6.33,141.18,12.17,73.45,WHIRLPOOL
2017Q4,4.19,958.01,5.55,110.39,11.52,53.14,WHIRLPOOL
2018Q1,7.2,1257.74,7.27,164.01,13.04,91.38,WHIRLPOOL
2018Q2,12.91,1651.08,9.92,279.71,16.94,163.79,WHIRLPOOL
2018Q3,6.19,1181.5,6.65,147.58,12.49,78.55,WHIRLPOOL
2018Q4,4.78,1211.54,5.0,124.43,10.27,60.62,WHIRLPOOL
2019Q1,8.21,1355.15,7.68,196.72,14.52,104.1,WHIRLPOOL
2019Q2,15.04,1974.2,9.67,329.88,16.71,190.84,WHIRLPOOL
2019Q3,9.84,1393.46,8.96,180.43,12.95,124.83,WHIRLPOOL
2019Q4,5.77,1271.24,5.76,129.12,10.16,73.22,WHIRLPOOL
2020Q1,6.89,1353.62,6.46,162.63,12.01,87.41,WHIRLPOOL
2020Q2,1.3,1027.05,1.6,60.83,5.92,16.47,WHIRLPOOL
2020Q3,10.14,1599.47,8.04,216.0,13.5,128.62,WHIRLPOOL
2020Q4,5.07,1493.98,4.31,128.96,8.63,64.37,WHIRLPOOL
2021Q1,9.76,1779.39,6.96,202.8,11.4,123.82,WHIRLPOOL
2021Q2,1.84,1340.61,1.74,69.47,5.18,23.34,WHIRLPOOL
2021Q3,6.19,1607.1,4.88,145.42,9.05,78.49,WHIRLPOOL
2021Q4,3.27,1435.06,2.89,91.33,6.36,41.49,WHIRLPOOL
2022Q1,6.27,1610.63,4.94,148.37,9.21,79.53,WHIRLPOOL
2022Q2,6.14,1983.74,3.93,148.31,7.48,77.9,WHIRLPOOL
2022Q3,3.2,1488.91,2.73,93.54,6.28,40.62,WHIRLPOOL
2022Q4,0.85,1172.37,0.92,58.51,4.99,10.74,WHIRLPOOL
2023Q1,4.38,1565.23,3.55,120.14,7.68,55.6,WHIRLPOOL
2023Q2,4.91,1922.85,3.24,132.43,6.89,62.27,WHIRLPOOL
2023Q3,2.01,1400.02,1.82,83.35,5.95,25.52,WHIRLPOOL
2023Q4,1.16,1397.79,1.05,71.5,5.12,14.68,WHIRLPOOL
2024Q1,5.12,1612.01,4.03,158.06,9.81,64.9,WHIRLPOOL
2024Q2,10.56,2383.7,5.62,240.64,10.1,134.03,WHIRLPOOL
2024Q3,3.29,1582.08,2.64,113.74,7.19,41.7,WHIRLPOOL
2024Q4,2.11,1564.95,1.71,90.44,5.78,26.78,WHIRLPOOL
2025Q1,8.74,1890.07,5.87,211.02,11.16,110.86,WHIRLPOOL
2025Q2,10.65,2317.47,5.83,243.69,10.52,135.07,WHIRLPOOL
2025Q3,2.14,1502.15,1.8,90.9,6.05,27.09,WHIRLPOOL
