quarter,eps,revenue,pat_margin,ebitda,ebitda_margin,pat,company,ret_1m,ret_3m,vol_30d,vol_60d,abnormal_volume
2022Q3,2.23,2266.88,17.46,580.08,25.59,395.81,DABUR,0.005881450502285279,0.1608723450420695,0.012781768925651053,0.01213826583288796,1.1717723415281833
2022Q4,2.23,2298.26,17.16,582.45,25.34,394.34,DABUR,-0.04320042256625234,-0.020481915360653913,0.015030037135404174,0.013396144757218903,0.5166863660919334
2023Q1,1.32,1939.48,12.02,388.87,20.05,233.03,DABUR,0.023094451799025473,-0.02861214490341768,0.009979608057132938,0.011879464221525898,0.8295095647100962
2023Q2,2.13,2347.38,16.09,561.45,23.92,377.67,DABUR,0.031598772654688245,0.05817716527301986,0.008049074352617244,0.012163160936673734,0.888978443991698
2023Q3,2.37,2334.4,18.0,611.11,26.18,420.27,DABUR,-0.00594711679462423,-0.032749018033385036,0.0082650515032241,0.010506321054009176,0.9562029861148176
2023Q4,2.42,2414.36,17.73,633.38,26.23,428.12,DABUR,0.04227471367024482,0.0083352003804813,0.00995787923848759,0.010679705524505022,1.499653566089645
2024Q1,1.6,2039.46,13.88,450.76,22.1,283.15,DABUR,-0.011525762676843687,-0.014040695621375221,0.007876771721578635,0.011521746694252958,1.1611227445452323
2024Q2,2.29,2514.16,16.12,606.55,24.13,405.39,DABUR,0.08146557069182991,0.15341785544847997,0.018241332786661194,0.017097625112434896,0.42211607645802496
2024Q3,1.86,2143.58,15.36,521.67,24.34,329.21,DABUR,-0.018755431654546184,0.027707043545754484,0.013640807333399087,0.0138001461774087,1.4701252313794335
2024Q4,2.36,2448.26,17.08,627.86,25.65,418.08,DABUR,-0.03822453374965906,-0.1949099434578122,0.008857521241240804,0.011388245285614327,0.9462183705966332
2015Q4,2.89,673.5,19.47,249.4,37.03,131.15,EMAMI,0.05571681952203944,-0.08783953513507958,0.016381614482661157,0.01951534594454349,0.6624560603881969
2016Q1,1.55,539.11,12.99,181.49,33.66,70.04,EMAMI,-0.037029498547640705,-0.04663049538661057,0.013441628287574621,0.014103616465650249,1.506475305774287
2016Q2,1.09,594.43,8.27,142.39,23.95,49.17,EMAMI,0.06438043494735735,0.17453955111493702,0.015698575514254062,0.01886752845214659,1.804248502992348
2016Q3,1.95,525.62,16.83,202.89,38.6,88.48,EMAMI,0.018278382086527545,0.0827273501978707,0.016445586648752973,0.014482663587411496,1.4901635559157669
2016Q4,3.09,670.15,20.9,267.55,39.92,140.07,EMAMI,-0.11285661497855493,-0.1876465724973334,0.01750600083108027,0.02111791995374975,0.9896578636350023
2017Q1,1.51,520.71,13.18,171.37,32.91,68.65,EMAMI,0.028972947453576703,0.09880092225640502,0.017376386578248325,0.020046249721071323,1.676177427336904
2017Q2,0.14,487.68,1.29,88.45,18.14,6.3,EMAMI,-0.012305400546419376,0.05648061361544632,0.01366909564272541,0.01431774683248904,0.8405555260647926
2017Q3,2.29,580.51,17.9,206.98,35.65,103.94,EMAMI,0.006762967903124695,0.02215056210154276,0.012642765473874471,0.014781311994149959,1.5507528800375228
2017Q4,3.29,716.89,20.79,269.82,37.64,149.07,EMAMI,0.013177128851452169,0.21473914738396105,0.013244932935823584,0.012740023488960453,0.6367381879231777
